Assembly	N_contigs_0_bp	N_contigs_1000_bp	N_contigs_5000_bp	N_contigs_10000_bp	N_contigs_25000_bp	N_contigs_50000_bp	Total_length_0_bp	Total_length_1000_bp	Total_length_5000_bp	Total_length_10000_bp	Total_length_25000_bp	Total_length_50000_bp	N_contigs	Largest_contig	Total_length	GC	N50	N75	L50	L75	N_N_s_per_100_kbp	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	dunno	species	useGenome
GCA_001331925	51	46	32	28	20	17	3185263	3181831	3153279	3125911	2994386	2870514	51	606591	3185263	44.52	190703	94568	5	11	0	PRJNA295891	SAMN04092618	LKCO00000000.1	na	1590	1590	Lactobacillus plantarum	strain=WLPL04	NA	latest	Contig	Major	Full	2015-10-16	ASM133192v1	Nanchang University	GCF_001331925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/331/925/GCA_001331925.1_ASM133192v1	NA	NA	plantarum	TRUE
GCA_001368775	67	65	57	47	38	21	3224773	3223335	3202203	3126153	2978752	2365311	67	312995	3224773	44.36	92828	44314	11	23	0	PRJEB5195	SAMEA3158485	CBZW000000000.1	na	1590	1590	Lactobacillus plantarum	strain=80	NA	latest	Contig	Major	Full	2015-03-19	LP_newbler2.7	VRIJE UNIVERSITEIT BRUSSEL	GCF_001368775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/368/775/GCA_001368775.1_LP_newbler2.7	NA	NA	plantarum	TRUE
GCA_001433755	60	50	38	35	27	21	3647705	3641086	3606539	3584957	3462635	3213563	60	291906	3647705	46.31	162763	110318	9	15	495.79	PRJNA222257	SAMN02369484	AZCU00000000.1	na	1423791	1589	Lactobacillus pentosus DSM 20314	strain=DSM 20314	NA	latest	Scaffold	Major	Full	2015-11-06	ASM143375v1	Shanghai Majorbio	GCF_001433755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/755/GCA_001433755.1_ASM143375v1	NA	assembly from type material	pentosus	TRUE
GCA_001434175	48	38	33	30	23	20	3208905	3203178	3191879	3172382	3055581	2929813	42	401646	3206457	44.48	176138	94571	6	13	1.9	PRJNA222257	SAMN02369435	AZEJ00000000.1	na	525338	1590	Lactobacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437	strain=CGMCC 1.2437	NA	latest	Scaffold	Major	Full	2015-11-06	ASM143417v1	Shanghai Majorbio	GCF_001434175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/434/175/GCA_001434175.1_ASM143417v1	NA	NA	plantarum	TRUE
GCA_001435215	210	117	64	50	35	20	3186310	3149415	3025210	2922115	2678109	2099717	138	309658	3164489	45.04	88621	41201	12	27	21.36	PRJNA222257	SAMN02369470	AZFR00000000.1	na	1423831	1590	Lactobacillus plantarum subsp. argentoratensis DSM 16365	strain=DSM 16365	NA	latest	Scaffold	Major	Full	2015-11-06	ASM143521v1	Shanghai Majorbio	GCF_001435215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/435/215/GCA_001435215.1_ASM143521v1	NA	assembly from type material	plantarum	TRUE
GCA_001435655	252	139	67	47	31	18	3395753	3346329	3188040	3041965	2757523	2293339	177	578869	3374806	43.72	93771	35212	10	24	31.88	PRJNA222257	SAMN02369508	AZEO00000000.1	na	1423789	60520	Lactobacillus paraplantarum DSM 10667	strain=DSM 10667	NA	latest	Scaffold	Major	Full	2015-11-06	ASM143565v1	Shanghai Majorbio	GCF_001435655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/435/655/GCA_001435655.1_ASM143565v1	NA	assembly from type material	paraplantarum	TRUE
GCA_001436855	90	41	33	26	19	16	3439800	3424098	3404876	3356790	3256040	3134688	44	448089	3426287	44.26	263553	110636	5	10	49.21	PRJNA222257	SAMN02797770	JQAW00000000.1	na	1590	1590	Lactobacillus plantarum	strain=DSM 13273	NA	latest	Scaffold	Major	Full	2015-11-06	ASM143685v1	Shanghai Majorbio	GCF_001436855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/436/855/GCA_001436855.1_ASM143685v1	NA	assembly from synonym type material	plantarum	TRUE
GCA_001438845	103	68	38	33	25	18	2989578	2974461	2912156	2873495	2741281	2471641	77	429471	2981246	45.12	113879	71058	6	14	26.9	PRJNA222257	SAMN02797795	JQCL00000000.1	representative genome	942150	942150	Lactobacillus xiangfangensis	strain=LMG 26013	NA	latest	Scaffold	Major	Full	2015-11-06	ASM143884v1	Shanghai Majorbio	GCF_001438845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/438/845/GCA_001438845.1_ASM143884v1	NA	assembly from type material	xiangfangensis	TRUE
GCA_001443645	1	1	1	1	1	1	3139729	3139729	3139729	3139729	3139729	3139729	1	3139729	3139729	43.95	3139729	3139729	1	1	0	PRJNA299444	SAMN02893814	NA	na	60520	60520	Lactobacillus paraplantarum	strain=L-ZS9	NA	latest	Complete Genome	Major	Full	2015-11-13	ASM144364v1	Institute Of Microbiology Chinese Academy of Sciences	GCF_001443645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/645/GCA_001443645.1_ASM144364v1	NA	NA	paraplantarum	TRUE
GCA_001444495	14	14	14	14	13	11	3228096	3228096	3228096	3228096	3205823	3118844	14	1048781	3228096	44.55	857574	172696	2	5	1.64	PRJNA301568	SAMN04266587	LNCP00000000.1	na	1590	1590	Lactobacillus plantarum	strain=CRL 1506	NA	latest	Contig	Major	Full	2015-11-17	ASM144449v1	CERELA-CONICET	GCF_001444495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/444/495/GCA_001444495.1_ASM144449v1	NA	NA	plantarum	TRUE
GCA_001484005	3	3	3	3	2	1	3322458	3322458	3322458	3322458	3309974	3261418	3	3261418	3322458	44.47	3261418	3261418	1	1	0	PRJNA289547	SAMN03854682	NA	na	1590	1590	Lactobacillus plantarum	strain=LZ95	NA	latest	Complete Genome	Major	Full	2016-01-04	ASM148400v1	ZHE JIANG GONG SHANG UNIVERSITY	GCF_001484005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/005/GCA_001484005.1_ASM148400v1	NA	NA	plantarum	TRUE
GCA_001540925	27	23	20	20	16	13	3298660	3296424	3289425	3289425	3228919	3125069	27	634502	3298660	44.43	276804	153991	4	8	0	PRJNA284435	SAMN03702584	LDEL00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Lp1610	NA	latest	Contig	Major	Full	2016-01-25	ASM154092v1	Geneva University Hospitals	GCF_001540925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/540/925/GCA_001540925.1_ASM154092v1	NA	NA	plantarum	TRUE
GCA_001540965	25	22	22	20	16	14	3240520	3238864	3238864	3222554	3143565	3085132	25	715070	3240520	44.44	327607	175263	3	7	0	PRJNA284436	SAMN03702585	LDEM00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Lp1612	NA	latest	Contig	Major	Full	2016-01-25	ASM154096v1	Geneva University Hospitals	GCF_001540965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/540/965/GCA_001540965.1_ASM154096v1	NA	NA	plantarum	TRUE
GCA_001581895	1	1	1	1	1	1	2952218	2952218	2952218	2952218	2952218	2952218	1	2952218	2952218	44.93	2952218	2952218	1	1	0	PRJNA284878	SAMN03734222	NA	na	1590	1590	Lactobacillus plantarum	strain=Zhang-LL	NA	latest	Complete Genome	Major	Full	2016-03-08	ASM158189v1	Beijing University of Agricultrue	GCF_001581895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/581/895/GCA_001581895.1_ASM158189v1	NA	NA	plantarum	TRUE
GCA_001595615	171	117	98	85	48	15	3294478	3275343	3225483	3132182	2486557	1333324	125	242520	3280763	44.38	42039	25590	22	47	0.12	PRJNA305628	SAMN04329467	LOMH00000000.1	na	1590	1590	Lactobacillus plantarum	strain=43-3	NA	latest	Scaffold	Major	Full	2016-03-21	ASM159561v1	Vavilov Institute of General Genetics	GCF_001595615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/615/GCA_001595615.1_ASM159561v1	NA	NA	plantarum	TRUE
GCA_001596095	1	1	1	1	1	1	3262611	3262611	3262611	3262611	3262611	3262611	1	3262611	3262611	44.48	3262611	3262611	1	1	0	PRJNA313247	SAMN04517536	NA	na	1590	1590	Lactobacillus plantarum	strain=JBE245	NA	latest	Complete Genome	Major	Full	2016-03-22	ASM159609v1	Chonbuk National University	GCF_001596095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/596/095/GCA_001596095.1_ASM159609v1	NA	NA	plantarum	TRUE
GCA_001596195	121	72	33	27	20	18	3603563	3577026	3483335	3441864	3318539	3263407	98	619211	3596995	44	235913	144467	6	11	0	PRJNA311909	SAMN04490175	LSST00000000.1	na	1590	1590	Lactobacillus plantarum	strain=E2C2	NA	latest	Contig	Major	Full	2016-03-23	ASM159619v1	National Centre for Cell Science Pune	GCF_001596195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/596/195/GCA_001596195.1_ASM159619v1	NA	NA	plantarum	TRUE
GCA_001597605	121	74	36	28	18	16	3615168	3588709	3504557	3449295	3301674	3238830	103	619212	3609806	43.98	256152	144467	5	10	0	PRJNA313343	SAMN04519660	LTCD00000000.1	na	1590	1590	Lactobacillus plantarum	strain=E2C5	NA	latest	Contig	Major	Full	2016-03-25	ASM159760v1	National Centre for Cell Science Pune	GCF_001597605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/597/605/GCA_001597605.1_ASM159760v1	NA	NA	plantarum	TRUE
GCA_001617525	4	4	3	2	1	1	3274625	3274625	3272676	3266272	3254946	3254946	4	3254946	3274625	44.52	3254946	3254946	1	1	0	PRJNA315197	SAMN04549363	NA	na	1590	1590	Lactobacillus plantarum	strain=CAUH2	NA	latest	Complete Genome	Major	Full	2016-04-08	ASM161752v1	China Agricultural University	GCF_001617525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/525/GCA_001617525.1_ASM161752v1	NA	NA	plantarum	TRUE
GCA_001619265	57	53	48	44	37	20	3183959	3182316	3162650	3129800	3034660	2396536	54	270685	3182929	44.53	113845	51038	10	20	2.01	PRJNA306013	SAMN04382578	LQHC00000000.1	na	1590	1590	Lactobacillus plantarum	strain=FBR5	NA	latest	Scaffold	Major	Full	2016-04-13	ASM161926v1	NIZO food research	GCF_001619265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/619/265/GCA_001619265.1_ASM161926v1	NA	NA	plantarum	TRUE
GCA_001619275	85	73	59	49	33	18	3276442	3269428	3221986	3163319	2909405	2349768	80	372856	3274425	44.33	97859	45095	9	21	6.29	PRJNA306013	SAMN04382577	LQHB00000000.1	na	1590	1590	Lactobacillus plantarum	strain=FBR4	NA	latest	Scaffold	Major	Full	2016-04-13	ASM161927v1	NIZO food research	GCF_001619275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/619/275/GCA_001619275.1_ASM161927v1	NA	NA	plantarum	TRUE
GCA_001619295	76	66	47	39	28	19	3332807	3326439	3281215	3225648	3040442	2655811	72	440067	3331195	44.36	133604	54532	7	17	11.38	PRJNA306013	SAMN04382579	LQHD00000000.1	na	1590	1590	Lactobacillus plantarum	strain=FBR6	NA	latest	Scaffold	Major	Full	2016-04-13	ASM161929v1	NIZO food research	GCF_001619295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/619/295/GCA_001619295.1_ASM161929v1	NA	NA	plantarum	TRUE
GCA_001633245	37	33	28	26	19	15	3452791	3449884	3441339	3427330	3321015	3175665	36	461265	3452292	44.28	216237	141323	5	10	0.96	PRJNA314115	SAMN04528995	LUXL00000000.1	na	1590	1590	Lactobacillus plantarum	strain=ER	NA	latest	Contig	Major	Full	2016-04-28	ASM163324v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/245/GCA_001633245.1_ASM163324v1	NA	NA	plantarum	TRUE
GCA_001633255	44	40	37	33	25	18	3550842	3548119	3541572	3517389	3379763	3123823	44	1016417	3550842	44.13	149581	97282	5	12	0.25	PRJNA314120	SAMN04528998	LUXO00000000.1	na	1590	1590	Lactobacillus plantarum	strain=NAB2	NA	latest	Contig	Major	Full	2016-04-28	ASM163325v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/255/GCA_001633255.1_ASM163325v1	NA	NA	plantarum	TRUE
GCA_001633265	42	37	31	25	18	13	3651069	3647561	3634766	3593863	3475928	3285548	42	816502	3651069	43.91	528753	104119	3	7	0.41	PRJNA314117	SAMN04528996	LUXM00000000.1	na	1590	1590	Lactobacillus plantarum	strain=19.1	NA	latest	Contig	Major	Full	2016-04-28	ASM163326v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/265/GCA_001633265.1_ASM163326v1	NA	NA	plantarum	TRUE
GCA_001633285	83	58	48	45	29	20	3194687	3184205	3161023	3138146	2891592	2594883	66	283038	3188744	44.55	124908	72013	9	17	0	PRJNA314030	SAMN04528200	LUWN00000000.1	na	1590	1590	Lactobacillus plantarum	strain=CNW10	NA	latest	Contig	Major	Full	2016-04-28	ASM163328v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/285/GCA_001633285.1_ASM163328v1	NA	NA	plantarum	TRUE
GCA_001633325	70	47	35	30	21	18	3386056	3374784	3339606	3304727	3161136	3065678	59	657353	3382759	44.18	225217	111151	5	10	0	PRJNA314033	SAMN04528229	LUWO00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2484	NA	latest	Contig	Major	Full	2016-04-28	ASM163332v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/325/GCA_001633325.1_ASM163332v1	NA	NA	plantarum	TRUE
GCA_001633335	62	45	32	26	19	18	3348559	3339384	3301212	3258489	3142739	3113781	55	657353	3346195	44.26	225214	113890	5	10	0	PRJNA314034	SAMN04528231	LUWP00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2485	NA	latest	Contig	Major	Full	2016-04-28	ASM163333v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/335/GCA_001633335.1_ASM163333v1	NA	NA	plantarum	TRUE
GCA_001633355	57	46	36	32	25	18	3303243	3298725	3275629	3248711	3106805	2802199	50	402614	3301255	44.45	173445	78078	7	14	0	PRJNA314035	SAMN04528232	LUWQ00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2494	NA	latest	Contig	Major	Full	2016-04-28	ASM163335v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/355/GCA_001633355.1_ASM163335v1	NA	NA	plantarum	TRUE
GCA_001633385	30	20	16	16	14	10	3179430	3176664	3167765	3167765	3126788	2988731	21	528517	3177190	44.6	419200	253082	4	6	0	PRJNA314084	SAMN04528806	LUWS00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2726	NA	latest	Contig	Major	Full	2016-04-28	ASM163338v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/385/GCA_001633385.1_ASM163338v1	NA	NA	plantarum	TRUE
GCA_001633405	59	38	27	26	22	17	3412849	3403927	3370361	3362856	3296438	3103393	45	531540	3408557	44.22	237011	97595	4	10	0	PRJNA314083	SAMN04528803	LUWR00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2535	NA	latest	Contig	Major	Full	2016-04-28	ASM163340v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/405/GCA_001633405.1_ASM163340v1	NA	NA	plantarum	TRUE
GCA_001633415	49	31	26	25	21	20	3346534	3338110	3328254	3321527	3245743	3218021	38	544234	3343534	44.33	226018	95475	5	10	0	PRJNA314087	SAMN04528807	LUWT00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2741	NA	latest	Contig	Major	Full	2016-04-28	ASM163341v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/415/GCA_001633415.1_ASM163341v1	NA	NA	plantarum	TRUE
GCA_001633435	56	40	30	27	17	12	3128523	3120661	3100677	3074342	2902867	2724585	48	775730	3126276	44.6	246355	141729	4	8	0	PRJNA314089	SAMN04528815	LUWU00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2753	NA	latest	Contig	Major	Full	2016-04-28	ASM163343v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/435/GCA_001633435.1_ASM163343v1	NA	NA	plantarum	TRUE
GCA_001633455	190	147	99	83	41	15	3124578	3103068	2986569	2872420	2174351	1219658	165	127866	3116697	44.49	41852	21768	23	48	0	PRJNA314095	SAMN04528821	LUWX00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2776	NA	latest	Contig	Major	Full	2016-04-28	ASM163345v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/455/GCA_001633455.1_ASM163345v1	NA	NA	plantarum	TRUE
GCA_001633485	124	90	69	60	40	22	3150861	3136075	3087033	3015752	2663525	1993684	99	312885	3142872	44.48	65398	42024	15	30	0	PRJNA314090	SAMN04528819	LUWV00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2757	NA	latest	Contig	Major	Full	2016-04-28	ASM163348v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/485/GCA_001633485.1_ASM163348v1	NA	NA	plantarum	TRUE
GCA_001633495	90	69	52	45	34	22	3169055	3159701	3119989	3066510	2882181	2430485	76	224524	3164843	44.44	96324	56464	11	21	0	PRJNA314092	SAMN04528820	LUWW00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2766	NA	latest	Contig	Major	Full	2016-04-28	ASM163349v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/495/GCA_001633495.1_ASM163349v1	NA	NA	plantarum	TRUE
GCA_001633505	62	26	18	17	16	11	3246095	3235036	3214924	3209389	3187050	3003767	30	528518	3237418	44.51	358813	247362	4	7	0	PRJNA314102	SAMN04528842	LUXC00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2830	NA	latest	Contig	Major	Full	2016-04-28	ASM163350v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/505/GCA_001633505.1_ASM163350v1	NA	NA	plantarum	TRUE
GCA_001633545	89	67	45	35	26	19	3372514	3362965	3290563	3215270	3082409	2842950	76	387338	3368802	44.45	178522	75405	7	15	0	PRJNA314098	SAMN04528827	LUWZ00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2802	NA	latest	Contig	Major	Full	2016-04-28	ASM163354v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/545/GCA_001633545.1_ASM163354v1	NA	NA	plantarum	TRUE
GCA_001633565	78	54	39	34	29	22	3248009	3237810	3205322	3166549	3084644	2835381	61	377779	3243274	44.44	128956	88496	9	17	0	PRJNA314097	SAMN04528826	LUWY00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2801	NA	latest	Contig	Major	Full	2016-04-28	ASM163356v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/565/GCA_001633565.1_ASM163356v1	NA	NA	plantarum	TRUE
GCA_001633575	110	63	47	45	32	21	3352125	3331898	3291123	3274418	3042806	2616090	77	239104	3341360	44.29	125805	52556	9	19	0	PRJNA314101	SAMN04528840	LUXB00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2814	NA	latest	Contig	Major	Full	2016-04-28	ASM163357v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/575/GCA_001633575.1_ASM163357v1	NA	NA	plantarum	TRUE
GCA_001633595	31	22	18	18	17	13	3232079	3228925	3220147	3220147	3197808	3059644	23	528508	3229555	44.53	358813	197568	4	7	0	PRJNA314103	SAMN04528875	LUXD00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2831	NA	latest	Contig	Major	Full	2016-04-28	ASM163359v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/595/GCA_001633595.1_ASM163359v1	NA	NA	plantarum	TRUE
GCA_001633605	39	29	25	23	20	18	3188814	3183672	3177940	3162012	3109086	3046969	33	544988	3187164	44.56	250315	147897	5	9	0	PRJNA314099	SAMN04528828	LUXA00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2806	NA	latest	Contig	Major	Full	2016-04-28	ASM163360v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/605/GCA_001633605.1_ASM163360v1	NA	NA	plantarum	TRUE
GCA_001633645	37	20	16	15	13	13	3223049	3216497	3207999	3200701	3165923	3165923	24	544354	3219476	44.48	416669	243790	4	6	0	PRJNA314107	SAMN04528876	LUXE00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2855	NA	latest	Contig	Major	Full	2016-04-28	ASM163364v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/645/GCA_001633645.1_ASM163364v1	NA	NA	plantarum	TRUE
GCA_001633665	78	46	31	29	23	16	3469171	3454218	3409784	3396208	3291444	3043189	57	458011	3461830	44.13	187092	119707	6	11	0	PRJNA314109	SAMN04528879	LUXG00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2891	NA	latest	Contig	Major	Full	2016-04-28	ASM163366v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/665/GCA_001633665.1_ASM163366v1	NA	NA	plantarum	TRUE
GCA_001633675	65	48	33	30	24	20	3291148	3283045	3249227	3223003	3138046	2990837	53	452055	3287158	44.37	182322	84016	6	12	0	PRJNA314108	SAMN04528877	LUXF00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2889	NA	latest	Contig	Major	Full	2016-04-28	ASM163367v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/675/GCA_001633675.1_ASM163367v1	NA	NA	plantarum	TRUE
GCA_001633685	154	111	71	48	37	27	3267429	3244199	3150305	2981105	2803550	2470663	135	256513	3261649	44.38	73483	51396	14	27	0	PRJNA314111	SAMN04528909	LUXH00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo3400	NA	latest	Contig	Major	Full	2016-04-28	ASM163368v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/685/GCA_001633685.1_ASM163368v1	NA	NA	plantarum	TRUE
GCA_001633725	52	31	24	21	14	13	3296082	3289029	3274219	3258532	3135109	3087900	34	557013	3290961	44.46	349001	146232	4	7	0	PRJNA314114	SAMN04528934	LUXK00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo3894	NA	latest	Contig	Major	Full	2016-04-28	ASM163372v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/725/GCA_001633725.1_ASM163372v1	NA	NA	plantarum	TRUE
GCA_001633745	239	98	62	42	31	21	3342747	3291026	3198643	3050132	2886375	2535253	131	252811	3313303	44.33	99880	60521	11	21	0	PRJNA314113	SAMN04528933	LUXJ00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo3893	NA	latest	Contig	Major	Full	2016-04-28	ASM163374v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/745/GCA_001633745.1_ASM163374v1	NA	NA	plantarum	TRUE
GCA_001633765	45	28	20	15	11	8	3324851	3318058	3301551	3262435	3191021	3083703	31	805833	3320443	44.41	465545	252664	3	5	0	PRJNA314112	SAMN04528932	LUXI00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo3892	NA	latest	Contig	Major	Full	2016-04-28	ASM163376v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/765/GCA_001633765.1_ASM163376v1	NA	NA	plantarum	TRUE
GCA_001633775	44	39	38	37	30	25	3454657	3451104	3449250	3443216	3308364	3101926	44	389224	3454657	44.25	115017	82865	9	18	0.2	PRJNA314118	SAMN04528997	LUXN00000000.1	na	1590	1590	Lactobacillus plantarum	strain=NAB1	NA	latest	Contig	Major	Full	2016-04-28	ASM163377v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/775/GCA_001633775.1_ASM163377v1	many frameshifted proteins	NA	plantarum	TRUE
GCA_001633805	87	71	61	50	37	21	2997695	2991149	2973040	2891187	2684083	2113299	76	276747	2994475	44.57	78148	45890	12	24	0	PRJNA313909	SAMN04525444	LUWE00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo2256	NA	latest	Contig	Major	Full	2016-04-28	ASM163380v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001633805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/805/GCA_001633805.1_ASM163380v1	NA	NA	plantarum	TRUE
GCA_001639425	100	80	64	53	39	21	3034081	3025506	2990991	2909504	2708110	2063929	87	276747	3030346	44.55	70844	44064	13	26	0	PRJNA313512	SAMN04524170	LUWA00000000.1	na	1590	1590	Lactobacillus plantarum	strain=Nizo1838	NA	latest	Contig	Major	Full	2016-04-28	ASM163942v1	Institute of Functional Genomics Lyon (IGFL)	GCF_001639425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/425/GCA_001639425.1_ASM163942v1	NA	NA	plantarum	TRUE
